,name,rqfactor,meaning,category,category_meaning,source,is_proper
10,ESG,"rqdatac.esg.get_rating(order_book_id,start_date, end_date, level=0)",ESG综合分数,基本面因子,"基本面因子以财务数据和股东数据为基础构建。关注的是公司的基本面数据如财务报表、盈利能力和负债情况，可以衡量企业的经营情况和盈利情况。
1. 股东结构类因子: 反映了股东的持股情况和变化，通常用于分析公司的持股分布和股东结构对股价的影响。如国有股份占比、董事女性占比。
2. 估值类因子: 用于衡量股票的市场价格与其基本面数据的关系。
(a) 市盈率（P/E Ratio）: 股票价格除以每股收益 (EPS)，衡量市场对公司未来盈利能力的预期。通常用于衡量股票的相对价值。
(b) 市净率（P/B Ratio）: 股票价格除以每股净资产，反映公司市场价值与账面价值的关系，用于评估公司资产的真实价值。
(c) 市销率（P/S Ratio）: 股票价格除以每股销售额，用于衡量公司销售额与股票市值的关系，适用于收入驱动型的公司。
3. 资产负债类因子: 衡量公司的资产负债情况，反映公司财务状况和资本结构的稳定性。如资产负债率、权益负债比。
4. 营运能力类因子: 评估公司的盈利能力和成长性。如流动比率、速动比率、资产周转率。
5. 管理能力类因子: 衡量公司的运营效率，反映公司在日常经营活动中的表现。如ESG评分。",,
11,ESG_E,"rqdatac.esg.get_rating(order_book_id, start_date, end_date, level=1,type=""E"")",ESG中环境分数,基本面因子,"基本面因子以财务数据和股东数据为基础构建。关注的是公司的基本面数据如财务报表、盈利能力和负债情况，可以衡量企业的经营情况和盈利情况。
1. 股东结构类因子: 反映了股东的持股情况和变化，通常用于分析公司的持股分布和股东结构对股价的影响。如国有股份占比、董事女性占比。
2. 估值类因子: 用于衡量股票的市场价格与其基本面数据的关系。
(a) 市盈率（P/E Ratio）: 股票价格除以每股收益 (EPS)，衡量市场对公司未来盈利能力的预期。通常用于衡量股票的相对价值。
(b) 市净率（P/B Ratio）: 股票价格除以每股净资产，反映公司市场价值与账面价值的关系，用于评估公司资产的真实价值。
(c) 市销率（P/S Ratio）: 股票价格除以每股销售额，用于衡量公司销售额与股票市值的关系，适用于收入驱动型的公司。
3. 资产负债类因子: 衡量公司的资产负债情况，反映公司财务状况和资本结构的稳定性。如资产负债率、权益负债比。
4. 营运能力类因子: 评估公司的盈利能力和成长性。如流动比率、速动比率、资产周转率。
5. 管理能力类因子: 衡量公司的运营效率，反映公司在日常经营活动中的表现。如ESG评分。",,
12,ESG_S,"rqdatac.esg.get_rating(order_book_id, start_date, end_date, level=1,type=""S"")",ESG中社会责任分数,基本面因子,"基本面因子以财务数据和股东数据为基础构建。关注的是公司的基本面数据如财务报表、盈利能力和负债情况，可以衡量企业的经营情况和盈利情况。
1. 股东结构类因子: 反映了股东的持股情况和变化，通常用于分析公司的持股分布和股东结构对股价的影响。如国有股份占比、董事女性占比。
2. 估值类因子: 用于衡量股票的市场价格与其基本面数据的关系。
(a) 市盈率（P/E Ratio）: 股票价格除以每股收益 (EPS)，衡量市场对公司未来盈利能力的预期。通常用于衡量股票的相对价值。
(b) 市净率（P/B Ratio）: 股票价格除以每股净资产，反映公司市场价值与账面价值的关系，用于评估公司资产的真实价值。
(c) 市销率（P/S Ratio）: 股票价格除以每股销售额，用于衡量公司销售额与股票市值的关系，适用于收入驱动型的公司。
3. 资产负债类因子: 衡量公司的资产负债情况，反映公司财务状况和资本结构的稳定性。如资产负债率、权益负债比。
4. 营运能力类因子: 评估公司的盈利能力和成长性。如流动比率、速动比率、资产周转率。
5. 管理能力类因子: 衡量公司的运营效率，反映公司在日常经营活动中的表现。如ESG评分。",,
13,ESG_G,"rqdatac.esg.get_rating(order_book_id,start_date, end_date, level=1,type=""G"")",ESG中治理分数,基本面因子,"基本面因子以财务数据和股东数据为基础构建。关注的是公司的基本面数据如财务报表、盈利能力和负债情况，可以衡量企业的经营情况和盈利情况。
1. 股东结构类因子: 反映了股东的持股情况和变化，通常用于分析公司的持股分布和股东结构对股价的影响。如国有股份占比、董事女性占比。
2. 估值类因子: 用于衡量股票的市场价格与其基本面数据的关系。
(a) 市盈率（P/E Ratio）: 股票价格除以每股收益 (EPS)，衡量市场对公司未来盈利能力的预期。通常用于衡量股票的相对价值。
(b) 市净率（P/B Ratio）: 股票价格除以每股净资产，反映公司市场价值与账面价值的关系，用于评估公司资产的真实价值。
(c) 市销率（P/S Ratio）: 股票价格除以每股销售额，用于衡量公司销售额与股票市值的关系，适用于收入驱动型的公司。
3. 资产负债类因子: 衡量公司的资产负债情况，反映公司财务状况和资本结构的稳定性。如资产负债率、权益负债比。
4. 营运能力类因子: 评估公司的盈利能力和成长性。如流动比率、速动比率、资产周转率。
5. 管理能力类因子: 衡量公司的运营效率，反映公司在日常经营活动中的表现。如ESG评分。",,
14,MACD_DIFF,"rqdatac.get_factor(order_book_id, ""MACD_DIFF"", start_date, end_date)",指数平滑移动平均线差离值,技术因子,"技术类因子是以股票的交易价格、成交量以及资金的流向等数据为基础构建的，刻画的是各类投资者的交易行为。
1. 动量 & 反转类因子: 反映股票价格在一定时间内的上涨或下跌趋势。动量因子通常表明价格会继续沿着既定方向运动，而反转因子则基于价格在一定周期后可能出现反转的假设，捕捉价格回调或反转机会。
2. 流动性类因子: 衡量股票在市场中的可交易性和易变现性，通常通过交易量、买卖价差、换手率等指标来评估。
3. 波动率类因子: 描述股票价格在一定时间内的波动幅度，通常用于反映市场的风险水平。
4. 量价相关性类因子: 量价关系是指成交量与价格变动之间的联动性。该类因子可以帮助识别趋势的强弱，若在价格上涨时成交量也同步增加，可能预示趋势的延续，反之则可能预示转折点。
5. 筹码分布类因子: 通过分析市场中不同价位的持仓分布，了解市场中的供需平衡和主要持仓力量的集中或分散程度，能够反映出市场的压力位和支撑位。
6. 资金流类因子: 主要通过监测资金流入流出的情况来评估市场或个股的资金关注度。
7. 北向资金类因子: 反映外资在 A 股市场的流动状况。
8. 融资融券类因子: 通过分析融资买入和融券卖出的变化情况，衡量市场参与者利用杠杆进行的交易行为。",,
15,MACD_DEA,"rqdatac.get_factor(order_book_id, ""MACD_DEA"", start_date, end_date)",指数平滑移动平均线平滑移动平均线,技术因子,"技术类因子是以股票的交易价格、成交量以及资金的流向等数据为基础构建的，刻画的是各类投资者的交易行为。
1. 动量 & 反转类因子: 反映股票价格在一定时间内的上涨或下跌趋势。动量因子通常表明价格会继续沿着既定方向运动，而反转因子则基于价格在一定周期后可能出现反转的假设，捕捉价格回调或反转机会。
2. 流动性类因子: 衡量股票在市场中的可交易性和易变现性，通常通过交易量、买卖价差、换手率等指标来评估。
3. 波动率类因子: 描述股票价格在一定时间内的波动幅度，通常用于反映市场的风险水平。
4. 量价相关性类因子: 量价关系是指成交量与价格变动之间的联动性。该类因子可以帮助识别趋势的强弱，若在价格上涨时成交量也同步增加，可能预示趋势的延续，反之则可能预示转折点。
5. 筹码分布类因子: 通过分析市场中不同价位的持仓分布，了解市场中的供需平衡和主要持仓力量的集中或分散程度，能够反映出市场的压力位和支撑位。
6. 资金流类因子: 主要通过监测资金流入流出的情况来评估市场或个股的资金关注度。
7. 北向资金类因子: 反映外资在 A 股市场的流动状况。
8. 融资融券类因子: 通过分析融资买入和融券卖出的变化情况，衡量市场参与者利用杠杆进行的交易行为。",,
16,MACD_HIST,"rqdatac.get_factor(order_book_id, ""MACD_HIST"", start_date, end_date)",指数平滑移动平均线柱形图,技术因子,"技术类因子是以股票的交易价格、成交量以及资金的流向等数据为基础构建的，刻画的是各类投资者的交易行为。
1. 动量 & 反转类因子: 反映股票价格在一定时间内的上涨或下跌趋势。动量因子通常表明价格会继续沿着既定方向运动，而反转因子则基于价格在一定周期后可能出现反转的假设，捕捉价格回调或反转机会。
2. 流动性类因子: 衡量股票在市场中的可交易性和易变现性，通常通过交易量、买卖价差、换手率等指标来评估。
3. 波动率类因子: 描述股票价格在一定时间内的波动幅度，通常用于反映市场的风险水平。
4. 量价相关性类因子: 量价关系是指成交量与价格变动之间的联动性。该类因子可以帮助识别趋势的强弱，若在价格上涨时成交量也同步增加，可能预示趋势的延续，反之则可能预示转折点。
5. 筹码分布类因子: 通过分析市场中不同价位的持仓分布，了解市场中的供需平衡和主要持仓力量的集中或分散程度，能够反映出市场的压力位和支撑位。
6. 资金流类因子: 主要通过监测资金流入流出的情况来评估市场或个股的资金关注度。
7. 北向资金类因子: 反映外资在 A 股市场的流动状况。
8. 融资融券类因子: 通过分析融资买入和融券卖出的变化情况，衡量市场参与者利用杠杆进行的交易行为。",,
17,BOLL,"rqdatac.get_factor(order_book_id, ""BOLL"", start_date, end_date)",布林线基准,技术因子,"技术类因子是以股票的交易价格、成交量以及资金的流向等数据为基础构建的，刻画的是各类投资者的交易行为。
1. 动量 & 反转类因子: 反映股票价格在一定时间内的上涨或下跌趋势。动量因子通常表明价格会继续沿着既定方向运动，而反转因子则基于价格在一定周期后可能出现反转的假设，捕捉价格回调或反转机会。
2. 流动性类因子: 衡量股票在市场中的可交易性和易变现性，通常通过交易量、买卖价差、换手率等指标来评估。
3. 波动率类因子: 描述股票价格在一定时间内的波动幅度，通常用于反映市场的风险水平。
4. 量价相关性类因子: 量价关系是指成交量与价格变动之间的联动性。该类因子可以帮助识别趋势的强弱，若在价格上涨时成交量也同步增加，可能预示趋势的延续，反之则可能预示转折点。
5. 筹码分布类因子: 通过分析市场中不同价位的持仓分布，了解市场中的供需平衡和主要持仓力量的集中或分散程度，能够反映出市场的压力位和支撑位。
6. 资金流类因子: 主要通过监测资金流入流出的情况来评估市场或个股的资金关注度。
7. 北向资金类因子: 反映外资在 A 股市场的流动状况。
8. 融资融券类因子: 通过分析融资买入和融券卖出的变化情况，衡量市场参与者利用杠杆进行的交易行为。",,
18,BOLL_UP,"rqdatac.get_factor(order_book_id, ""BOLL_UP"", start_date, end_date)",布林线上轨,技术因子,"技术类因子是以股票的交易价格、成交量以及资金的流向等数据为基础构建的，刻画的是各类投资者的交易行为。
1. 动量 & 反转类因子: 反映股票价格在一定时间内的上涨或下跌趋势。动量因子通常表明价格会继续沿着既定方向运动，而反转因子则基于价格在一定周期后可能出现反转的假设，捕捉价格回调或反转机会。
2. 流动性类因子: 衡量股票在市场中的可交易性和易变现性，通常通过交易量、买卖价差、换手率等指标来评估。
3. 波动率类因子: 描述股票价格在一定时间内的波动幅度，通常用于反映市场的风险水平。
4. 量价相关性类因子: 量价关系是指成交量与价格变动之间的联动性。该类因子可以帮助识别趋势的强弱，若在价格上涨时成交量也同步增加，可能预示趋势的延续，反之则可能预示转折点。
5. 筹码分布类因子: 通过分析市场中不同价位的持仓分布，了解市场中的供需平衡和主要持仓力量的集中或分散程度，能够反映出市场的压力位和支撑位。
6. 资金流类因子: 主要通过监测资金流入流出的情况来评估市场或个股的资金关注度。
7. 北向资金类因子: 反映外资在 A 股市场的流动状况。
8. 融资融券类因子: 通过分析融资买入和融券卖出的变化情况，衡量市场参与者利用杠杆进行的交易行为。",,
19,BOLL_DOWN,"rqdatac.get_factor(order_book_id, ""BOLL_DOWN"", start_date, end_date)",布林线下轨,技术因子,"技术类因子是以股票的交易价格、成交量以及资金的流向等数据为基础构建的，刻画的是各类投资者的交易行为。
1. 动量 & 反转类因子: 反映股票价格在一定时间内的上涨或下跌趋势。动量因子通常表明价格会继续沿着既定方向运动，而反转因子则基于价格在一定周期后可能出现反转的假设，捕捉价格回调或反转机会。
2. 流动性类因子: 衡量股票在市场中的可交易性和易变现性，通常通过交易量、买卖价差、换手率等指标来评估。
3. 波动率类因子: 描述股票价格在一定时间内的波动幅度，通常用于反映市场的风险水平。
4. 量价相关性类因子: 量价关系是指成交量与价格变动之间的联动性。该类因子可以帮助识别趋势的强弱，若在价格上涨时成交量也同步增加，可能预示趋势的延续，反之则可能预示转折点。
5. 筹码分布类因子: 通过分析市场中不同价位的持仓分布，了解市场中的供需平衡和主要持仓力量的集中或分散程度，能够反映出市场的压力位和支撑位。
6. 资金流类因子: 主要通过监测资金流入流出的情况来评估市场或个股的资金关注度。
7. 北向资金类因子: 反映外资在 A 股市场的流动状况。
8. 融资融券类因子: 通过分析融资买入和融券卖出的变化情况，衡量市场参与者利用杠杆进行的交易行为。",,
20,PRICE_STD,"rqfactor.STD(CLOSE,20)",近20交易日收盘价的标准差,技术因子,"技术类因子是以股票的交易价格、成交量以及资金的流向等数据为基础构建的，刻画的是各类投资者的交易行为。
1. 动量 & 反转类因子: 反映股票价格在一定时间内的上涨或下跌趋势。动量因子通常表明价格会继续沿着既定方向运动，而反转因子则基于价格在一定周期后可能出现反转的假设，捕捉价格回调或反转机会。
2. 流动性类因子: 衡量股票在市场中的可交易性和易变现性，通常通过交易量、买卖价差、换手率等指标来评估。
3. 波动率类因子: 描述股票价格在一定时间内的波动幅度，通常用于反映市场的风险水平。
4. 量价相关性类因子: 量价关系是指成交量与价格变动之间的联动性。该类因子可以帮助识别趋势的强弱，若在价格上涨时成交量也同步增加，可能预示趋势的延续，反之则可能预示转折点。
5. 筹码分布类因子: 通过分析市场中不同价位的持仓分布，了解市场中的供需平衡和主要持仓力量的集中或分散程度，能够反映出市场的压力位和支撑位。
6. 资金流类因子: 主要通过监测资金流入流出的情况来评估市场或个股的资金关注度。
7. 北向资金类因子: 反映外资在 A 股市场的流动状况。
8. 融资融券类因子: 通过分析融资买入和融券卖出的变化情况，衡量市场参与者利用杠杆进行的交易行为。",,
21,VOLUME_STD,"rqfactor.STD(VOLUME,20)",近20交易日成交量的标准差,技术因子,"技术类因子是以股票的交易价格、成交量以及资金的流向等数据为基础构建的，刻画的是各类投资者的交易行为。
1. 动量 & 反转类因子: 反映股票价格在一定时间内的上涨或下跌趋势。动量因子通常表明价格会继续沿着既定方向运动，而反转因子则基于价格在一定周期后可能出现反转的假设，捕捉价格回调或反转机会。
2. 流动性类因子: 衡量股票在市场中的可交易性和易变现性，通常通过交易量、买卖价差、换手率等指标来评估。
3. 波动率类因子: 描述股票价格在一定时间内的波动幅度，通常用于反映市场的风险水平。
4. 量价相关性类因子: 量价关系是指成交量与价格变动之间的联动性。该类因子可以帮助识别趋势的强弱，若在价格上涨时成交量也同步增加，可能预示趋势的延续，反之则可能预示转折点。
5. 筹码分布类因子: 通过分析市场中不同价位的持仓分布，了解市场中的供需平衡和主要持仓力量的集中或分散程度，能够反映出市场的压力位和支撑位。
6. 资金流类因子: 主要通过监测资金流入流出的情况来评估市场或个股的资金关注度。
7. 北向资金类因子: 反映外资在 A 股市场的流动状况。
8. 融资融券类因子: 通过分析融资买入和融券卖出的变化情况，衡量市场参与者利用杠杆进行的交易行为。",,
22,RSI,"rqdatac.get_factor(order_book_id, ""RSI10"", start_date, end_date)",相对强弱指标(N=10),技术因子,"技术类因子是以股票的交易价格、成交量以及资金的流向等数据为基础构建的，刻画的是各类投资者的交易行为。
1. 动量 & 反转类因子: 反映股票价格在一定时间内的上涨或下跌趋势。动量因子通常表明价格会继续沿着既定方向运动，而反转因子则基于价格在一定周期后可能出现反转的假设，捕捉价格回调或反转机会。
2. 流动性类因子: 衡量股票在市场中的可交易性和易变现性，通常通过交易量、买卖价差、换手率等指标来评估。
3. 波动率类因子: 描述股票价格在一定时间内的波动幅度，通常用于反映市场的风险水平。
4. 量价相关性类因子: 量价关系是指成交量与价格变动之间的联动性。该类因子可以帮助识别趋势的强弱，若在价格上涨时成交量也同步增加，可能预示趋势的延续，反之则可能预示转折点。
5. 筹码分布类因子: 通过分析市场中不同价位的持仓分布，了解市场中的供需平衡和主要持仓力量的集中或分散程度，能够反映出市场的压力位和支撑位。
6. 资金流类因子: 主要通过监测资金流入流出的情况来评估市场或个股的资金关注度。
7. 北向资金类因子: 反映外资在 A 股市场的流动状况。
8. 融资融券类因子: 通过分析融资买入和融券卖出的变化情况，衡量市场参与者利用杠杆进行的交易行为。",,
